gu_name,dong_name,intro
중구,명동,"명동은 서울 중구 도심부에 위치한 대표 상업·관광 지역이다. 명동거리와 을지로입구역, 명동역 일대에 화장품 매장, 패션 상점, 음식점, 호텔 등이 밀집해 있으며, 국내외 방문객이 많은 서울의 중심 상권으로 알려져 있다."
중구,필동,"필동은 서울 중구 남산 북쪽과 충무로 일대에 자리한 지역이다. 동국대학교, 남산골한옥마을, 충무로역과 가까우며, 대학가와 인쇄·영상 관련 업종, 주거지가 함께 형성되어 도심 생활권과 문화 자원이 공존하는 특징이 있다."
중구,광희동,"광희동은 서울 중구 동대문역사문화공원 인근에 위치한 도심 지역이다. 동대문디자인플라자와 동대문 패션상권, 광희문, 장충동 일대와 가까워 상업·문화·관광 기능이 복합적으로 나타나는 지역이다."
중구,다산동,"다산동은 서울 중구 동쪽 주거 생활권에 위치한 지역으로, 약수역과 버티고개역, 신당동 일대와 가깝다. 남산과 인접한 지형적 특성이 있으며, 아파트와 다세대주택, 생활상권이 혼재해 도심 접근성이 좋은 주거지 성격을 보인다."
중구,동화동,"동화동은 서울 중구 신당동 생활권에 속한 주거 중심 지역이다. 신당역과 청구역, 황학동·왕십리 방면과 가까우며, 전통시장과 근린상권, 아파트 단지가 함께 자리해 도심과 동북권을 잇는 생활 기반이 형성되어 있다."
중구,소공동,"소공동은 서울 중구 시청과 남대문로 일대에 위치한 도심 핵심 업무 지역이다. 서울시청, 덕수궁, 롯데백화점 본점, 주요 호텔과 금융·업무시설이 밀집해 행정, 상업, 관광 기능이 복합적으로 발달한 지역이다."
중구,신당동,"신당동은 서울 중구 동부에 위치한 생활권으로, 신당역과 동대문역사문화공원역, 청구역 일대와 가깝다. 주거지와 상업시설, 신당동 떡볶이타운 등 생활형 상권이 함께 형성되어 지역 인지도가 높은 곳이다."
중구,약수동,"약수동은 서울 중구 남산 동쪽과 약수역 일대에 자리한 주거 중심 지역이다. 지하철 3·6호선 환승역인 약수역을 중심으로 생활상권과 아파트 단지가 형성되어 있으며, 남산과 장충동 방면 접근성이 좋은 생활권이다."
중구,장충동,"장충동은 서울 중구 남산 동쪽과 장충단공원 일대에 위치한 지역이다. 장충체육관, 신라호텔, 동국대학교와 가까우며, 남산 녹지와 도심 교통망이 접해 있어 문화·체육시설과 주거 기능이 함께 나타난다."
중구,중림동,"중림동은 서울 중구 서쪽, 서울역과 충정로역 사이에 위치한 지역이다. 약현성당, 손기정체육공원, 중림시장 등이 있으며, 도심 업무지구와 서대문·마포 방면을 잇는 입지로 주거와 생활상권이 함께 형성되어 있다."
중구,청구동,"청구동은 서울 중구 동쪽 주거 생활권에 위치한 지역으로, 청구역과 약수역, 신당동 일대와 가깝다. 아파트와 다세대주택, 근린상권이 함께 분포하며, 동대문과 남산 방면 접근성이 좋은 도심 배후 주거지 성격을 지닌다."
중구,황학동,"황학동은 서울 중구 동북쪽 청계천과 신당역 인근에 자리한 지역이다. 황학동 주방거리, 중앙시장, 왕십리·동대문 방면 상권과 가까우며, 전통시장과 생활상권, 주거지가 혼재한 도심 생활 지역이다."
중구,회현동,"회현동은 서울 중구 남산 북쪽과 남대문시장 일대에 위치한 지역이다. 회현역, 숭례문, 남대문시장, 명동과 가까워 상업·관광 기능이 강하며, 남산 자락의 주거지와 도심 업무·상권이 함께 연결되는 입지다."
중구,을지로동,"을지로동은 서울 중구 을지로와 청계천 주변에 위치한 도심 산업·상업 지역이다. 을지로3가역과 을지로4가역 일대에 인쇄, 조명, 공구, 음식점 등이 밀집해 있으며, 오래된 산업 기반과 최근의 문화 상권이 공존한다."
중구,신당5동,"신당5동은 서울 중구 동쪽 신당역과 청구역 사이 생활권에 위치한 주거 중심 지역이다. 인근에 전통시장과 근린상권, 아파트 단지가 분포하며, 동대문·왕십리·약수 방면으로 이동하기 좋은 도심 동부 생활 거점이다."
강남구,세곡동,"세곡동은 강남구 남동쪽에 위치한 주거 중심 지역으로, 세곡천과 대모산·구룡산 녹지축이 가까운 생활권이다. 수서역과 헌릉로, 밤고개로 접근성이 있으며, 보금자리주택지구와 근린상권, 학교·공원 시설이 함께 조성된 비교적 차분한 주거지 성격을 보인다."
강남구,수서동,"수서동은 강남구 남동부의 교통 거점 지역으로, 수서역과 SRT, 지하철 3호선·수인분당선 이용이 편리하다. 탄천과 광평로, 수서IC가 가까워 광역 이동성이 높고, 아파트 단지와 업무시설, 복지·공공시설이 함께 자리한 생활권이다."
강남구,신사동,"신사동은 강남구 북서부 한강 남쪽에 위치한 상업·문화 중심 지역이다. 가로수길과 신사역, 압구정로데오 방면 상권이 가까우며, 패션 매장과 카페, 병원, 음식점이 밀집해 젊은 방문객과 유동인구가 많은 지역으로 알려져 있다."
강남구,청담동,"청담동은 강남구 북동부 한강변 인근에 위치한 고급 주거·상업 지역이다. 청담사거리와 압구정로데오, 청담명품거리 주변에 패션·뷰티·외식 시설이 밀집해 있으며, 한강공원과 도산대로 접근성이 좋아 세련된 도시 이미지를 지닌다."
강남구,압구정동,"압구정동은 강남구 북서부 한강 남쪽에 자리한 대표 주거·상업 지역이다. 압구정역과 현대백화점, 압구정로데오거리, 한강공원 접근성이 좋고, 고급 아파트 단지와 의료·패션·외식 상권이 함께 발달한 지역이다."
강남구,일원본동,"일원본동은 강남구 남동부 대모산 자락과 가까운 주거 중심 지역이다. 일원역과 삼성서울병원, 대청역 생활권이 인접하고, 아파트 단지와 학교, 근린공원이 조성되어 있다. 녹지 접근성과 의료·생활 편의성이 결합된 안정적인 주거지 성격이 강하다."
강남구,개포1동,"개포1동은 강남구 남부 개포지구에 위치한 주거 중심 지역이다. 개포동역과 구룡산·대모산 녹지축이 가까우며, 대규모 아파트 단지와 학교, 근린상권이 형성되어 있다. 재건축을 거친 주거단지가 늘면서 쾌적한 생활환경과 교육 여건이 부각된다."
강남구,논현1동,"논현1동은 강남구 서쪽 신논현역과 논현역 사이에 위치한 도심형 생활권이다. 강남대로와 학동로 주변으로 음식점, 오피스텔, 병원, 유흥·상업 시설이 밀집해 있으며, 강남역 상권과 가깝고 야간 유동인구도 많은 복합 상업 지역이다."
강남구,대치1동,"대치1동은 강남구 중남부에 위치한 주거·교육 중심 지역이다. 대치역과 도곡역, 은마아파트 일대 생활권이 가깝고, 학원가와 학교, 아파트 단지가 밀집해 있다. 강남의 대표적인 교육 특화 지역으로 생활 편의시설과 교통 접근성이 양호하다."
